assessed_news_headline_id,impact,news_headline_publication_timestamp,insignificance_timestamp,period_minutes
925.0,10.7,2024-02-09 12:00:00+00:00,2024-02-09 12:06:00+00:00,6.0
950.0,11.01,2024-02-14 12:00:00+00:00,2024-02-14 12:09:00+00:00,9.0
875.0,10.08,2024-02-16 12:00:00+00:00,2024-02-16 12:00:00+00:00,0.0
869.0,10.01,2024-02-27 06:00:00+00:00,2024-02-27 06:00:00+00:00,0.0
992.0,11.53,2024-02-29 12:00:00+00:00,2024-02-29 12:14:00+00:00,14.0
970.0,11.26,2024-03-04 12:00:00+00:00,2024-03-04 12:11:00+00:00,11.0
8127.0,10.0,2024-03-05 18:00:00+00:00,2024-03-05 18:00:00+00:00,0.0
906.0,10.46,2024-03-06 00:00:00+00:00,2024-03-06 00:04:00+00:00,4.0
928.0,10.74,2024-03-06 06:00:00+00:00,2024-03-06 06:07:00+00:00,7.0
927.0,10.73,2024-03-06 18:00:00+00:00,2024-03-06 18:07:00+00:00,7.0
921.0,10.65,2024-03-07 18:00:00+00:00,2024-03-07 18:06:00+00:00,6.0
937.0,10.85,2024-03-08 18:00:00+00:00,2024-03-08 18:08:00+00:00,8.0
909.0,10.5,2024-03-12 18:00:00+00:00,2024-03-12 18:04:00+00:00,4.0
951.0,11.02,2024-03-13 06:00:00+00:00,2024-03-13 06:09:00+00:00,9.0
939.0,10.87,2024-03-13 18:00:00+00:00,2024-03-13 18:08:00+00:00,8.0
909.0,10.5,2024-03-14 12:00:00+00:00,2024-03-14 12:04:00+00:00,4.0
960.0,11.13,2024-03-15 12:00:00+00:00,2024-03-15 12:10:00+00:00,10.0
900.0,10.39,2024-03-18 18:00:00+00:00,2024-03-18 18:03:00+00:00,3.0
877.0,10.11,2024-03-19 06:00:00+00:00,2024-03-19 06:01:00+00:00,1.0
898.0,10.37,2024-03-20 18:00:00+00:00,2024-03-20 18:03:00+00:00,3.0
884.0,10.19,2024-03-27 12:00:00+00:00,2024-03-27 12:01:00+00:00,1.0
975.0,11.32,2024-04-01 06:00:00+00:00,2024-04-01 06:12:00+00:00,12.0
881.0,10.15,2024-04-02 12:00:00+00:00,2024-04-02 12:01:00+00:00,1.0
903.0,10.43,2024-04-05 12:00:00+00:00,2024-04-05 12:04:00+00:00,4.0
999.0,11.62,2024-04-08 06:00:00+00:00,2024-04-08 06:15:00+00:00,15.0
902.0,10.42,2024-04-10 12:00:00+00:00,2024-04-10 12:04:00+00:00,4.0
915.0,10.58,2024-05-02 12:00:00+00:00,2024-05-02 12:05:00+00:00,5.0
881.0,10.15,2024-05-15 12:00:00+00:00,2024-05-15 12:01:00+00:00,1.0
942.0,10.91,2024-05-21 12:00:00+00:00,2024-05-21 12:08:00+00:00,8.0
937.0,10.85,2024-06-02 00:00:00+00:00,2024-06-02 00:08:00+00:00,8.0
888.0,10.24,2024-06-16 00:00:00+00:00,2024-06-16 00:02:00+00:00,2.0
930.0,10.76,2024-06-23 00:00:00+00:00,2024-06-23 00:07:00+00:00,7.0
987.0,11.47,2024-08-18 00:00:00+00:00,2024-08-18 00:13:00+00:00,13.0
Egg Hyperinflat,57.5,2024-12-12 20:46:36+00:00,2024-12-12 23:40:36+00:00,174.0
US Stocks Likel,54.17,2024-12-13 11:55:39+00:00,2024-12-13 14:43:39+00:00,168.0
US Stocks To Op,52.94,2024-12-16 11:24:52+00:00,2024-12-16 14:10:52+00:00,166.0
The S&P 500 Rec,57.02,2024-12-18 12:15:00+00:00,2024-12-18 15:09:00+00:00,174.0
All Eyes On Dec,60.0,2024-12-18 14:18:48+00:00,2024-12-18 17:17:48+00:00,179.0
Jim Cramer Warn,66.44,2024-12-19 02:27:38+00:00,2024-12-19 05:36:38+00:00,189.0
Billionaire Isr,35.0,2024-12-19 10:20:00+00:00,2024-12-19 12:25:00+00:00,125.0
21% of Warren B,52.12,2024-12-19 10:50:00+00:00,2024-12-19 13:35:00+00:00,165.0
Trump Would 'Le,50.0,2024-12-19 15:36:44+00:00,2024-12-19 18:16:44+00:00,160.0
Wall Street Pin,49.0,2024-12-19 17:13:04+00:00,2024-12-19 19:51:04+00:00,158.0
Hawkish Powell ,50.0,2024-12-20 09:11:02+00:00,2024-12-20 11:51:02+00:00,160.0
US Stocks To Op,48.33,2024-12-20 10:37:57+00:00,2024-12-20 13:14:57+00:00,157.0
Fed's Preferred,50.83,2024-12-20 13:44:16+00:00,2024-12-20 16:26:16+00:00,162.0
Market Volatili,52.5,2024-12-20 15:14:16+00:00,2024-12-20 17:59:16+00:00,165.0
'Sticky Inflati,43.33,2024-12-20 17:02:12+00:00,2024-12-20 19:28:12+00:00,146.0
Fed Cuts Intere,54.33,2024-12-20 21:11:11+00:00,2024-12-21 00:00:11+00:00,169.0
US Stocks To Op,53.33,2024-12-23 11:26:15+00:00,2024-12-23 14:13:15+00:00,167.0
Dow Jones: A Re,59.29,2024-12-24 07:35:00+00:00,2024-12-24 10:32:00+00:00,177.0
US Stocks To Op,53.45,2024-12-24 11:26:09+00:00,2024-12-24 14:13:09+00:00,167.0
US Stocks To Op,50.83,2024-12-27 12:35:24+00:00,2024-12-27 15:17:24+00:00,162.0
Stocks Tumble A,15.0,2024-12-27 18:16:21+00:00,2024-12-27 18:56:21+00:00,40.0
This Warren Buf,65.0,2024-12-31 10:15:00+00:00,2024-12-31 13:22:00+00:00,187.0
Billionaires Co,57.19,2025-01-01 11:45:00+00:00,2025-01-01 14:39:00+00:00,174.0
This Is 1 of th,41.67,2025-01-02 10:30:00+00:00,2025-01-02 12:52:00+00:00,142.0
3 Reasons Vangu,62.5,2025-01-02 11:39:00+00:00,2025-01-02 14:42:00+00:00,183.0
US Stocks To Op,54.5,2025-01-02 11:39:22+00:00,2025-01-02 14:28:22+00:00,169.0
Want a $1 Milli,55.0,2025-01-04 13:58:00+00:00,2025-01-04 16:48:00+00:00,170.0
Risk-On Sentime,50.0,2025-01-06 13:06:00+00:00,2025-01-06 15:46:00+00:00,160.0
US Stocks Could,47.92,2025-01-07 13:00:12+00:00,2025-01-07 15:36:12+00:00,156.0
Nvidia Stock Cl,48.91,2025-01-07 21:29:52+00:00,2025-01-08 00:07:52+00:00,158.0
US Stocks To Op,52.0,2025-01-08 10:45:27+00:00,2025-01-08 13:29:27+00:00,164.0
US Private Busi,45.56,2025-01-08 13:46:08+00:00,2025-01-08 16:17:08+00:00,151.0
Fed Minutes Rev,50.0,2025-01-08 19:34:08+00:00,2025-01-08 22:14:08+00:00,160.0
'No Rate Cuts I,46.67,2025-01-08 21:06:27+00:00,2025-01-08 23:40:27+00:00,154.0
